Municipality
"Addington Highlands, Township of"
"Adelaide-Metcalfe, Township of"
"Adjala-Tosorontio, Township of"
"Admaston/Bromley, Township of"
"Ajax, Town of"
"Alberton, Township of"
"Alfred and Plantagenet, Township of"
"Algonquin Highlands, Township of"
"Alnwick/Haldimand, Township of"
"Amaranth, Township of"
"Amherstburg, Town of"
"Armour, Township of"
"Armstrong, Township of"
"Arnprior, Town of"
"Arran-Elderslie, Municipality of"
"Ashfield-Colborne-Wawanosh, Township of"
"Asphodel-Norwood, Township of"
"Assiginack, Township of"
"Athens, Township of"
"Atikokan, Town of"
"Augusta, Township of"
"Aurora, Town of"
"Aylmer, Town of"
"Baldwin, Township of"
"Bancroft, Town of"
"Barrie, City of"
"Bayham, Municipality of"
"Beckwith, Township of"
"Belleville, City of"
"Billings, Township of"
"Black River-Matheson, Township of"
"Blandford-Blenheim, Township of"
"Blind River, Town of"
"Bluewater, Municipality of"
"Bonfield, Township of"
"Bonnechere Valley, Township of"
"Bracebridge, Town of"
"Bradford West Gwillimbury, Town of"
"Brampton, City of"
"Brant, County of"
"Brantford, City of"
"Brethour, Township of"
"Brighton, Municipality of"
"Brock, Township of"
"Brockton, Municipality of"
"Brockville, City of"
"Brooke-Alvinston, Municipality of"
"Bruce Mines, Town of"
"Bruce, County of"
"Brudenell, Lyndoch and Raglan, Township of"
"Burk's Falls, Village of"
"Burlington, City of"
"Burpee and Mills, Township of"
"Caledon, Town of"
"Callander, Municipality of"
"Calvin, Municipality of"
"Cambridge, City of"
"Carleton Place, Town of"
"Carling, Township of"
"Carlow/Mayo, Township of"
"Casey, Township of"
"Casselman, Village of"
"Cavan-Monaghan, Township of"
"Central Elgin, Municipality of"
"Central Frontenac, Township of"
"Central Huron, Municipality of"
"Central Manitoulin, Municipality of"
"Centre Hastings, Municipality of"
"Centre Wellington, Township of"
"Chamberlain, Township of"
"Champlain, Township of"
"Chapleau, Township of"
"Chapple, Township of"
"Charlton and Dack, Municipality of"
"Chatham-Kent, Municipality of"
"Chatsworth, Township of"
"Chisholm, Township of"
"Clarence-Rockland, City of"
"Clarington, Municipality of"
"Clearview, Township of"
"Cobalt, Town of"
"Cobourg, Town of"
"Cochrane, Town of"
"Cockburn Island, Township of"
"Coleman, Township of"
"Collingwood, Town of"
"Conmee, Township of"
"Cornwall, City of"
"Cramahe, Township of"
"Dawn-Euphemia, Township of"
"Dawson, Township of"
"Deep River, Town of"
"Deseronto, Town of"
"Dorion, Township of"
"Douro-Dummer, Township of"
"Drummond/North Elmsley, Township of"
"Dryden, City of"
"Dubreuilville, Township of"
"Dufferin, County of"
"Durham, Regional Municipality of"
"Dutton/Dunwich, Municipality of"
"Dysart, Dudley, Harcourt, Guilford, Harburn, Bruton, Havelock, Eyre and Clyde, United Townships of"
"Ear Falls, Township of"
"East Ferris, Township of"
"East Garafraxa, Township of"
"East Gwillimbury, Town of"
"East Hawkesbury, Township of"
"East Zorra-Tavistock, Township of"
"Edwardsburgh/Cardinal, Township of"
"Elgin, County of"
"Elizabethtown-Kitley, Township of"
"Elliot Lake, City of"
"Emo, Township of"
"Englehart, Town of"
"Enniskillen, Township of"
"Erin, Town of"
"Espanola, Town of"
"Essa, Township of"
"Essex, County of"
"Essex, Town of"
"Evanturel, Township of"
"Faraday, Township of"
"Fauquier-Strickland, Township of"
"Fort Erie, Town of"
"Fort Frances, Town of"
"French River, Municipality of"
"Front of Yonge, Township of"
"Frontenac Islands, Township of"
"Frontenac, County of"
"Gananoque, Town of"
"Gauthier, Township of"
"Georgian Bay, Township of"
"Georgian Bluffs, Township of"
"Georgina, Town of"
"Gillies, Township of"
"Goderich, Town of"
"Gordon/Barrie Island, Municipality of"
"Gore Bay, Town of"
"Grand Valley, Town of (formerly East Luther Grand Valley, Township of)"
"Gravenhurst, Town of"
"Greater Madawaska, Township of"
"Greater Napanee, Town of"
"Greater Sudbury, City of"
"Greenstone, Municipality of"
"Grey Highlands, Municipality of"
"Grey, County of"
"Grimsby, Town of"
"Guelph, City of"
"Guelph/Eramosa, Township of"
Haldimand County
"Haliburton, County of"
"Halton Hills, Town of"
"Halton, Regional Municipality of"
"Hamilton, City of"
"Hamilton, Township of"
"Hanover, Town of"
"Harley, Township of"
"Harris, Township of"
"Hastings Highlands, Municipality of"
"Hastings, County of"
"Havelock-Belmont-Methuen, Township of"
"Hawkesbury, Town of"
"Head, Clara and Maria, Township of"
"Hearst, Town of"
